,nombre,ranking_actual,puntos_wpt,p_jugados,p_ganados,p_perdidos,efectividad,vict_consecutivas,companero_actual,posicion_juego,lugar_nacimiento,fecha_nacimiento,altura,lugar_residencia,url,reference_date
147,Ingrid Van Boven Campoy,149,49,49,23,26,"46,94",5,,Revés,Barcelona,24/07/1976,"1,79",Tiana,https://www.worldpadeltour.com/jugadores/ingrid-van-boven-campoy/,05/04/2021
148,Carla Serrano González,150,48,15,0,15,0,0,María Del Carmen Gallego Castaño,Revés,Toledo,24/11/1997,"1,73 ",Madrid,https://www.worldpadeltour.com/jugadores/carla-serrano-gonzalez/,05/04/2021
149,Aida González Vila,151,47,19,9,10,"47,37",2,María Vera Mencías,Revés,Valencia,28/06/1998,"1,77",Valencia,https://www.worldpadeltour.com/jugadores/aida-gonzalez-vila/,05/04/2021
150,Catarina Castro Vilela ,151,47,2,0,2,0,1,Ana María Cabrejas Ruiz,Revés,Porto ,11/12/1994,"1,69",Porto ,https://www.worldpadeltour.com/jugadores/catarina-castro-vilela/,05/04/2021
151,Ksenia Sharifova ,152,47,0,0,0,0,3,Anouk Faure,Revés,Yuzhno-Sakhalinsk,01/05/1996,177,Valencia,https://www.worldpadeltour.com/jugadores/ksenia-sharifova/,05/04/2021
152,Juncal Aizpurua Menéndez,154,41,41,14,27,"34,15",2,Maria Del Mar Rodríguez Salazar,Revés,San Sebastián,20/07/1997,"1,75",Donostia - San Sebastián,https://www.worldpadeltour.com/jugadores/juncal-aizpurua-menendez/,05/04/2021
153,Laurene Bérard ,386,0,0,0,0,0,0,Elodie Damiano,Revés,Marraquech - Marruecos,01/01/1991,"1,70",Fes - Marruecos,https://www.worldpadeltour.com/jugadores/laurene-berard/,05/04/2021
154,Patricia García Calderaro,155,40,7,4,3,"57,14",2,Ana María Cabrejas Ruiz,Drive,Madrid,29/05/2000,"1,60",Madrid,https://www.worldpadeltour.com/jugadores/patricia-garcia-calderaro/,05/04/2021
155,Sofia Arvidsson ,155,40,1,0,1,0,0,Nuria Vivancos Vivancos,Revés,,16/02/1984,,,https://www.worldpadeltour.com/jugadores/sofia-arvidsson/,05/04/2021
156,Itziar Mayorga Eraña,158,39,4,1,3,25,1,Paula Puga Rey,Revés,Madrid,08/02/2001,"1,73",Madrid,https://www.worldpadeltour.com/jugadores/itziar-mayorga-erana/,05/04/2021
157,Fiona Ligi ,159,35,2,0,2,0,1,Diana da Silva,Revés,Perpignan ,27/04/1999,"1,70",Perpignan,https://www.worldpadeltour.com/jugadores/fiona-ligi/,05/04/2021
158,Lucía Rodríguez Rejón,159,35,5,1,4,20,1,Rafaella Masseron Laviaguerre Silva,Revés,Valladolid,08/04/2004,"1,70",Valladolid,https://www.worldpadeltour.com/jugadores/lucia-rodriguez-rejon/,05/04/2021
159,Claudia Jesica Fernández García,161,34,4,1,3,25,1,Alexandra Torralba Ladunca,Drive,Buenos Aires,23/04/1986,"1,60",Punta del Este,https://www.worldpadeltour.com/jugadores/claudia-jesica-fernandez-garcia/,05/04/2021
160,Marta González De La Fuente,161,34,84,35,49,"41,67",3,Isabel Domínguez Munaiz,Revés,Valladolid,02/08/1988,"1,72",Valladolid,https://www.worldpadeltour.com/jugadores/marta-gonzalez-de-la-fuente/,05/04/2021
161,Paula Letón Muñoz,163,33,29,4,25,"13,79",2,Carla Serrano González,Drive,Guadalajara,13/07/1995,"1,64",Guadalajara,https://www.worldpadeltour.com/jugadores/paula-leton-munoz/,05/04/2021
162,Carla Castillo Velarde,164,32,10,2,8,20,1,Marta Borrero Fernández de La Puente,Revés,Madrid,26/06/1997,"1,65",Madrid,https://www.worldpadeltour.com/jugadores/carla-castillo-velarde/,05/04/2021
163,Almudena Tore García,165,31,12,5,7,"41,67",3,Carlotta Casali Vannicelli,Drive,Mañaga,03/11/1991,0,Malaga,https://www.worldpadeltour.com/jugadores/almudena-tore-garcia/,05/04/2021
164,Alicia Lilian Berl ,166,30,78,33,45,"42,31",4,Celeste Paz,Drive,La Plata,28/10/1973,1.62,Madrid,https://www.worldpadeltour.com/jugadores/alicia-lilian-berl/,05/04/2021
165,Audrey Casanova ,166,30,8,2,6,25,1,Lovera Carol Ann,Drive,Digne Les Bains,22/01/1984,"1,63",Aix en Provence,https://www.worldpadeltour.com/jugadores/audrey-casanova/,05/04/2021
166,Lovera Carol Ann ,166,30,3,1,2,"33,33",1,Audrey Casanova,,,29/09/1973,,,https://www.worldpadeltour.com/jugadores/lovera-carol-ann/,05/04/2021
167,Olga Pedrera Carmona,169,29,12,2,10,"16,67",1,Sandu Raluca,Revés,Sevilla,10/02/1994,"1,63",Granada,https://www.worldpadeltour.com/jugadores/olga-pedrera-carmona/,05/04/2021
168,Pilar Santolalla Leurite,170,27,13,3,10,"23,08",1,Ana Varo Ramos,Revés,Antequera - Málaga,20/04/1994,"1,62",Antequera,https://www.worldpadeltour.com/jugadores/pilar-santolalla-leurite/,05/04/2021
